Entropia,no_zero_crossings,no_mean_crossings,n5,n25,n75,n95,median,mean,std,var,rms,min_STFT,P_max,F_max,Media,Varianza,max_STFT,Energia,labels
8.328077318247868,2376.0,2377.0,-0.021605515623328766,-0.010952662070805416,0.010923701633966745,0.022074091575149148,0.0,1.069409388619735e-06,0.013999688730019777,0.00019599128453744275,0.011467099038032558,4.736850997428511e-11,0.009005247753922122,47.265625,0.0002830648482466983,4.538342368484407e-07,0.009005247753922122,0.0007371624786348867,1
8.328077318247868,1501.0,1501.0,-0.017621864369509653,-0.007868854271351125,0.007006700114135957,0.020165113196106067,-4.0245941330338e-05,-1.4314307754566269e-06,0.011927234173344436,0.00014225891502579535,0.009054201042783734,1.9433909234471691e-13,0.003849854855256236,47.265625,0.00034239088155785984,2.715437087388309e-07,0.003849854855256236,0.0001144120162857167,1
8.328077318247868,1919.0,1919.0,-0.0029152880016939525,-0.0012776148670252917,0.0011898276177117802,0.0032135657745502597,0.0,-1.0604526752122144e-07,0.0019341615935916825,3.740981070125117e-06,0.0014817238924054496,9.707481841210886e-12,0.0007703893645423422,47.65625,5.7811955073133474e-05,6.93138452990133e-09,0.0007703893645423422,5.390501470881704e-06,1
7.998265828981933,1917.0,1917.0,-0.010792440598061179,-0.004107382983969385,0.004060884445719414,0.010887137747231584,0.0,-2.2107690102312956e-07,0.006511054741363094,4.2393833845026825e-05,0.004908192527069906,0.0,0.0031712856470527445,32.8125,0.00015758962662899668,9.443721993714288e-08,0.0031712856470527445,8.723014565252008e-05,1
7.998265828981933,1476.0,1476.0,-0.009991081621171021,-0.004116137947201,0.00398883754927031,0.010398823214456183,0.0,-1.5928886491914888e-06,0.006213975089900379,3.861348641790242e-05,0.004732385288182426,0.0,0.0032982359894718257,32.8125,0.00015824065062260414,8.410740817249765e-08,0.0032982359894718257,8.158853108888223e-05,1
7.998265828981933,2520.0,2522.0,-0.0019153501588838548,-0.0006623552965303574,0.0006630498397981557,0.001953833488758593,0.0,-3.989436768802365e-07,0.0011729658424790947,1.3758488676226924e-06,0.0008578491099555435,0.0,0.0006250482905391301,58.59375,3.2750943664383183e-05,2.7285038062817794e-09,0.0006250482905391301,4.2434355807340466e-07,1
6.095829363431726,922.0,921.0,-0.006708023096585601,-0.0013700646017059939,0.0012609293953426029,0.006842154921459034,0.0,1.4547940580924624e-07,0.00887277232209337,7.872608867970617e-05,0.003279159716109099,0.0,0.008216886725035405,19.53125,0.0001517328668236018,2.353930882297711e-07,0.008216886725035405,0.0006762973028039181,1
6.095829363431726,1641.0,1641.0,-0.008521206471940195,-0.0016062715203575854,0.0015107694791838392,0.008511405285980838,0.0,-6.788117856735619e-08,0.008338758204192763,6.95348883879921e-05,0.0036209222580543326,0.0,0.006295804611565455,41.40625,0.0001507382578147495,1.9846814047461205e-07,0.006295804611565455,0.0003378236941515957,1
6.095829363431726,1936.0,1936.0,-0.0017219445556568812,-0.00035695224666430856,0.0003278215363413231,0.0017734385625842392,0.0,-3.1481704245724975e-07,0.0013994993232834382,1.958598355870802e-06,0.0007027211435975872,0.0,0.0009676221152816655,59.375,3.092331660520251e-05,5.112546228448672e-09,0.0009676221152816655,1.5007056272546897e-06,1
6.095829363431726,922.0,921.0,-0.006708023096585601,-0.0013700646017059939,0.0012609293953426029,0.006842154921459034,0.0,1.4547940580924624e-07,0.00887277232209337,7.872608867970617e-05,0.003279159716109099,0.0,0.008216886725035405,19.53125,0.0001517328668236018,2.353930882297711e-07,0.008216886725035405,0.0006762973028039181,1
6.095829363431726,1641.0,1641.0,-0.008521206471940195,-0.0016062715203575854,0.0015107694791838392,0.008511405285980838,0.0,-6.788117856735619e-08,0.008338758204192763,6.95348883879921e-05,0.0036209222580543326,0.0,0.006295804611565455,41.40625,0.0001507382578147495,1.9846814047461205e-07,0.006295804611565455,0.0003378236941515957,1
6.095829363431726,1936.0,1936.0,-0.0017219445556568812,-0.00035695224666430856,0.0003278215363413231,0.0017734385625842392,0.0,-3.1481704245724975e-07,0.0013994993232834382,1.958598355870802e-06,0.0007027211435975872,0.0,0.0009676221152816655,59.375,3.092331660520251e-05,5.112546228448672e-09,0.0009676221152816655,1.5007056272546897e-06,1
4.432369648420325,724.0,724.0,-0.008571696901226987,0.0,0.0,0.009232335273293752,0.0,-7.920811872026586e-06,0.00514356759843116,2.6456287639630886e-05,0.002745309886335101,0.0,0.0039685987114954175,33.203125,8.853005640300361e-05,6.539707813847909e-08,0.0039685987114954175,2.7999771841106088e-05,1
4.432369648420325,929.0,929.0,-0.007798532572350183,0.0,0.0,0.007856876268714477,0.0,-2.85532020232726e-07,0.004537548205978995,2.0589343721583194e-05,0.002452281897105319,0.0,0.00395258251523899,33.203125,7.636960646707674e-05,5.118525600294405e-08,0.00395258251523899,4.1308857151230254e-05,1
4.432369648420325,1328.0,1330.0,-0.0010691115970896125,0.0,0.0,0.001061299994786468,0.0,-7.601501518525292e-07,0.0006664487923179883,4.441539927821051e-07,0.0003331096350825084,0.0,0.0005093744510254637,58.203125,1.4174218314523594e-05,1.0323557081958213e-09,0.0005093744510254637,9.101981951432839e-07,1
8.328077318247868,1244.0,1244.0,-0.010579297608166787,-0.004596576487052449,0.00397647487984905,0.013052683027169134,-8.090243947277714e-05,-1.3416834347677465e-06,0.009181485631331681,8.429967839835012e-05,0.0057532635094267575,1.311018033183675e-11,0.005597158521338953,19.140625,0.00020572242857334148,1.6788577634070617e-07,0.005597158521338953,8.42010961016276e-05,1
